SR (A/fs)	5e-06	Plateau PMF	50217.332	Plate-plate vol (m^3)	5.25e-25
TimeStep	Time (fs)	Total strain (A)	PMF (kCal/mol)	PMF norm (vol)	PMF norm (peak)
2037600	525600	2.628	20397.8	3.885295238095238e+28	0.406
2039400	527400	2.637	20496.5	3.9040952380952383e+28	0.408
2041200	529200	2.646	20597.4	3.923314285714286e+28	0.41
2043000	531000	2.655	20698.2	3.942514285714286e+28	0.412
2044800	532800	2.664	20799.9	3.961885714285715e+28	0.414
2046600	534600	2.673	20900.1	3.980971428571428e+28	0.416
2048400	536400	2.682	21003.3	4.000628571428572e+28	0.418
2050200	538200	2.691	21103.2	4.019657142857143e+28	0.42
2052000	540000	2.7	21204.9	4.039028571428572e+28	0.422
2053800	541800	2.709	21304.4	4.057980952380952e+28	0.424
2055600	543600	2.718	21404.5	4.077047619047619e+28	0.426
2057400	545400	2.727	21504.1	4.0960190476190476e+28	0.428
2059200	547200	2.736	21605.7	4.115371428571429e+28	0.43
2061000	549000	2.745	21705.0	4.134285714285714e+28	0.432
2062800	550800	2.754	21803.4	4.153028571428572e+28	0.434
2064600	552600	2.763	21900.2	4.171466666666667e+28	0.436
2066400	554400	2.772	21995.7	4.189657142857143e+28	0.438
2068200	556200	2.781	22093.4	4.208266666666667e+28	0.44
2070000	558000	2.79	22189.1	4.226495238095238e+28	0.442
2071800	559800	2.799	22287.5	4.2452380952380955e+28	0.444
2073600	561600	2.808	22384.8	4.263771428571429e+28	0.446
2075400	563400	2.817	22483.6	4.282590476190476e+28	0.448
2077200	565200	2.826	22586.1	4.302114285714285e+28	0.45
2079000	567000	2.835	22684.3	4.320819047619048e+28	0.452
2080800	568800	2.844	22785.6	4.340114285714286e+28	0.454
2082600	570600	2.853	22886.7	4.359371428571429e+28	0.456
2084400	572400	2.862	22985.4	4.378171428571429e+28	0.458
2086200	574200	2.871	23089.3	4.397961904761905e+28	0.46
2088000	576000	2.88	23189.6	4.417066666666667e+28	0.462
2089800	577800	2.889	23293.3	4.436819047619048e+28	0.464
2091600	579600	2.898	23392.6	4.455733333333333e+28	0.466
2093400	581400	2.907	23494.8	4.4752e+28	0.468
2095200	583200	2.916	23591.8	4.4936761904761906e+28	0.47
2097000	585000	2.925	23694.9	4.513314285714286e+28	0.472
2098800	586800	2.934	23792.1	4.5318285714285714e+28	0.474
2100600	588600	2.943	23893.6	4.551161904761905e+28	0.476
2102400	590400	2.952	23991.0	4.569714285714286e+28	0.478
